Unnamed: 0,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,company_name,car_names
2950,643000.0,122619,Diesel,Manual,2nd Owner,2015,1199,5,Mahindra,XUV500 W8 FWD
2951,592000.0,23976,Petrol,Manual,1st Owner,2020,1968,5,Maruti,Swift VXI
2952,361000.0,159147,Diesel,Manual,1st Owner,2014,1498,5,Honda,Mobilio V i-DTEC
2953,330000.0,75384,Petrol,Manual,2nd Owner,2014,1197,7,Maruti,Swift Dzire VXI
2954,2990000.0,61500,Petrol,Automatic,1st Owner,2017,2967,5,Audi,A6 35 TFSI Matrix
2955,351000.0,39477,Petrol,Manual,1st Owner,2018,1197,8,Tata,Tigor 1.2 Revotron XE
2956,2580000.0,41000,Diesel,Automatic,2nd Owner,2016,2523,5,Audi,A6 35 TDI
2957,518000.0,53234,Diesel,Manual,2nd Owner,2015,1582,5,Honda,City i DTEC SV
2958,604000.0,67261,Petrol,Automatic,2nd Owner,2018,2494,5,Maruti,Swift Dzire AMT ZXI Plus
2959,1380000.0,71000,Diesel,Automatic,3rd Owner,2014,998,5,Audi,A6 3.0 TDI Quattro Premium Plus
2960,653000.0,8201,Petrol,Manual,1st Owner,2020,1591,5,Maruti,Baleno Delta
2961,473000.0,98105,Diesel,Manual,1st Owner,2015,1197,5,Mahindra,Bolero SLE BSIII
2962,463000.0,93147,Diesel,Automatic,1st Owner,2014,1248,7,Hyundai,Verna 1.6 SX CRDI (O) AT
2963,557000.0,139257,Diesel,Manual,1st Owner,2012,1582,7,Toyota,Innova 2.5 GX (Diesel) 8 Seater
2964,134000.0,140511,Petrol,Manual,1st Owner,2011,1086,7,Maruti,Alto K10 2010-2014 VXI
2965,449000.0,68266,Petrol,Manual,1st Owner,2014,2982,5,Hyundai,Verna 1.6 EX VTVT
2966,209000.0,80283,Petrol,Manual,2nd Owner,2011,1493,7,Hyundai,i20 1.2 Magna
2967,459000.0,55133,Diesel,Manual,1st Owner,2016,1196,7,Maruti,Swift VDI BSIV
2968,583000.0,58437,Diesel,Manual,2nd Owner,2014,998,5,Hyundai,Elantra CRDi SX
2969,169000.0,117816,Petrol,Manual,1st Owner,2013,2494,7,Hyundai,Santro Xing GL
2970,1180000.0,212661,Diesel,Manual,2nd Owner,2013,1373,5,Toyota,Fortuner 4x2 Manual
2971,522000.0,67918,Diesel,Manual,1st Owner,2016,1399,5,Mahindra,Bolero Power Plus SLE
2972,468000.0,18636,Petrol,Manual,1st Owner,2022,2755,5,Maruti,Eeco 7 Seater STD 2020-2022
2973,201000.0,111556,Petrol,Manual,2nd Owner,2015,1197,5,Maruti,Alto K10 LXI
2974,793000.0,141834,Diesel,Manual,1st Owner,2015,1197,5,Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV
2975,411000.0,24920,Petrol,Manual,2nd Owner,2014,1197,5,Maruti,Ertiga VXI
2976,125000.0,115042,Diesel,Manual,2nd Owner,2011,1462,5,Ford,Figo Diesel EXI
